172.21.0.13 - - [10/Jan/2022:19:28:59 +0000] "GET /js/319.m.4b5a730c.chunk.js HTTP/1.1" 200 4845 "http://sonarqube.local/admin/plugin_risk_consent" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAP"
172.21.0.13 - - [10/Jan/2022:19:28:59 +0000] "GET /api/languages/list HTTP/1.1" 200 479 "http://sonarqube.local/admin/plugin_risk_consent" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAQ"
172.21.0.13 - - [10/Jan/2022:19:29:07 +0000] "POST /api/settings/set HTTP/1.1" 204 - "http://sonarqube.local/admin/plugin_risk_consent" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAR"
172.21.0.13 - - [10/Jan/2022:19:29:07 +0000] "GET / HTTP/1.1" 200 - "http://sonarqube.local/admin/plugin_risk_consent" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAS"
172.21.0.13 - - [10/Jan/2022:19:29:07 +0000] "GET /api/l10n/index?locale=en-GB&ts=2022-01-10T19%3A28%3A59%2B0000 HTTP/1.1" 304 - "http://sonarqube.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAU"
172.21.0.13 - - [10/Jan/2022:19:29:07 +0000] "GET /api/users/current HTTP/1.1" 200 354 "http://sonarqube.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAT"
172.21.0.13 - - [10/Jan/2022:19:29:07 +0000] "GET /api/navigation/global HTTP/1.1" 200 572 "http://sonarqube.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAV"
172.21.0.13 - - [10/Jan/2022:19:29:07 +0000] "GET /api/languages/list HTTP/1.1" 200 479 "http://sonarqube.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAW"
172.21.0.13 - - [10/Jan/2022:19:29:07 +0000] "GET /images/logo.svg?v=6.6 HTTP/1.1" 304 - "http://sonarqube.local/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAZ"
172.21.0.13 - - [10/Jan/2022:19:29:07 +0000] "GET /api/rules/app HTTP/1.1" 200 - "http://sonarqube.local/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAX"
